序号,地区,省份,采购单位,项目名称,预算,截止日期,招标方式,业务标签,推荐,来源,链接
23,华东,上海,兴银理财,兴银理财新一代投资交易管理三期项目,-,2026-07-04,公开招标,"资产管理,信创/国产化",🔥 ★★★ 强烈建议投标,兴业银行采购门户,https://cg.cib.com.cn/cms/default/webfile/gyszj/20260604/1247194212571545600.html
24,华东,上海,上海农商,基于知识工程的企业级知识库建设项目（POC）,POC阶段，需缴纳保证金3万元,2026-06-29 15:00,竞争性谈判,"大模型应用,数据平台,信创/国产化",⭐ ★★☆ 建议投标,上海农商银行供应商门户,https://pms2g.shrcb.com/cms/cmspocgg/db1b41437fbb45ecbf241fb828059904.html
25,华东,浙江,宁银理财,TA系统功能升级项目（二次征集）,-,2026-06-25,供应商征集,资产管理,☆☆☆ 已截止,千里马招标网,https://www.qianlima.com/bid-605689383.html
26,华东,浙江,宁银理财,投资管理管理系统功能升级项目,-,2026-06-25,供应商征集,资产管理,☆☆☆ 已截止,千里马招标网,https://www.qianlima.com/bid-605786676.html
27,华东,浙江,宁银理财,产品管理系统功能升级项目,-,2026-06-26,供应商征集,资产管理,☆☆☆ 已截止,千里马招标网,https://www.qianlima.com/bid-605907030.html
28,华东,浙江,宁银理财,估值核算系统功能升级项目,-,2026-06-26,供应商征集,资产管理,☆☆☆ 已截止,千里马招标网,https://www.qianlima.com/bid-605916993.html
29,华东,浙江,宁银理财,减值系统功能升级项目,-,2026-06-26,供应商征集,资产管理,☆☆☆ 已截止,千里马招标网,https://www.qianlima.com/bid-605916989.html
30,华东,浙江,宁波银行,贵金属销售管理系统改造升级测试,-,2026-06-28,供应商征集,财富管理,🔥 ★★★ 强烈建议投标,千里马招标网,https://www.qianlima.com/bid-606684368.html
31,华东,浙江,宁银理财,金融数据平台账号及深度数据增值服务采购项目,-,2026-06-30,供应商征集,"数据服务,资产管理",🔥 ★★★ 强烈建议投标,千里马招标网,https://www.qianlima.com/bid-606116090.html
32,华东,浙江,浙商银行,国产化资产托管系统建设及个性化功能迁移改造项目,-,2026-07-24 09:00,竞争性磋商,"信创/国产化,资产托管",🔥 ★★★ 强烈建议投标,千里马招标网,https://www.qianlima.com/bid-606221114.html
33,华东,浙江,浙金信托,投资舆情数据服务采购项目,21万元,2026-06-29 9:30,竞争性磋商,"数据服务,资产管理,风控合规",⭐ ★★☆ 建议投标,千里马招标网,https://www.qianlima.com/bid-606499680.html
34,华东,浙江,浙江农商,金融市场风控系统-企业图谱数据采购,-,另行通知（POC测试登记时限：2026-06-23）,公开招标,"风控合规,数据服务,金融市场/资金/同业",⭐ ★★☆ 建议投标,千里马招标网,https://www.qianlima.com/bid-605665268.html
35,华东,浙江,宁波银行,智能代码审计系统项目,-,2026-06-25,竞争性谈判,大模型应用,☆☆☆ 已截止,宁波银行采购平台,https://cpms.nbcb.com.cn/cpms7net/WebSite/WebSiteIndex
36,华东,浙江,绍兴银行,AI算力服务器采购项目,97.4万元,2026-06-26 09:30,公开招标,"信创/国产化,大模型应用",☆☆☆ 已截止,绍兴市阳光采购服务平台,https://ygcg.sxjypt.com
37,华中,河南,中原银行,量化交易投资系统,-,2026-06-26 17:00,公开招标,金融市场/资金/同业,☆☆☆ 已截止,千里马招标网,https://www.qianlima.com/bid-606836624.html
38,华中,河南,郑州银行,资金存管系统信创改造项目,-,2026-06-24 17:00,单一来源采购,信创/国产化,☆☆☆ 已截止,千里马招标网,https://www.qianlima.com/bid-606202380.html
39,华中,湖南,湖南银行,湖南银行2026年资金管理系统研发项目,155万元,2026-07-09 09:30,公开招标,"金融市场/资金/同业,信创/国产化",🔥 ★★★ 强烈建议投标,湖南银行官网,https://www.hunan-bank.com/96599/2026-06/18/article_2026061814534543700.shtml
40,西南,四川,成都银行,资金头寸管理系统,150万元,2026-07-08 14:20,竞争性磋商,金融市场/资金/同业,⭐ ★★☆ 建议投标,千里马招标网,https://www.qianlima.com/bid-607001102.html
